peliId|directorId|titol|durada|valoracio
862|7879|Toy Story|81|7.7
8844|4945|Jumanji|104|6.9
15602|26502|Grumpier Old Men|101|6.5
31357|2178|Waiting to Exhale|127|6.1
11862|56106|Father of the Bride Part II|106|5.7
949|638|Heat|170|7.7
11860|2226|Sabrina|127|6.2
45325|18357|Tom and Huck|97|5.4
9091|37710|Sudden Death|106|5.5
710|10702|GoldenEye|130|6.6
9087|3026|The American President|106|6.5
12110|14639|Dracula: Dead and Loving It|88|5.7
21032|21879|Balto|78|7.1
10858|1152|Nixon|192|7.1
1408|16938|Cutthroat Island|119|5.7
524|1032|Casino|178|7.8
4584|1614|Sense and Sensibility|136|7.2
9273|4489|Ace Ventura: When Nature Calls|90|6.1
11517|52629|Money Train|103|5.4
8012|5174|Get Shorty|105|6.4
1710|15148|Copycat|124|6.5
9691|7187|Assassins|132|6.0
12665|56349|Powder|111|6.3
451|6111|Leaving Las Vegas|112|7.1
16420|56710|Othello|123|7.0
9263|15798|Now and Then|100|6.6
17015|7017|Persuasion|104|7.4
37557|607|Shanghai Triad|108|6.5
9909|60295|Dangerous Minds|99|6.4
63|280|Twelve Monkeys|129|7.4
78802|2352|Wings of Courage|50|6.8
9598|58137|Babe|89|6.0
47018|12952|Carrington|121|6.4
687|504|Dead Man Walking|122|7.3
139405|77867|Across the Sea of Time|51|3.5
33689|17167|It Takes Two|101|6.1
9603|57434|Clueless|97|6.9
34615|16730|Cry, the Beloved Country|106|6.7
31174|33315|Richard III|104|6.9
35196|52405|Restoration|117|6.3
9312|4014|Mortal Kombat|101|5.4
577|5216|To Die For|106|6.7
11861|3047|How To Make An American Quilt|116|6.5
807|7467|Se7en|127|8.1
8391|55439|When Night Is Falling|96|5.9
629|9032|The Usual Suspects|106|8.1
117164|100505|Guardian Angel|93|6.3
11448|1243|Mighty Aphrodite|95|6.7
49133|128107|Lamerica|116|7.7
26441|71338|The Big Green|100|5.2
97406|140354|Georgia|115|6.1
124057|30586|Kids of the Round Table|89|3.0
9089|1038|Home for the Holidays|103|6.3
11010|28898|The Postman|108|7.6
