peliId|directorId|titol|durada|valoracio
9614|17494|Happy Gilmore|92|6.5
688|190|The Bridges of Madison County|135|7.3
11907|18969|Nobody Loves Me|104|5.1
10874|65298|Muppet Treasure Island|100|6.5
89333|64077|Catwalk|95|7.0
96357|1234226|Headless Body in Topless Bar|110|0.0
197|2461|Braveheart|177|7.7
103|1032|Taxi Driver|114|8.1
33542|44916|Rumble in the Bronx|91|6.5
43566|23393|Before and After|108|5.8
71754|184475|Margaret's Museum|114|7.5
43612|20849|Happiness Is in the Field|106|7.0
51352|82293|Anne Frank Remembered|117|7.3
16934|81020|The Young Poisoner's Handbook|99|6.9
10324|68185|If Lucy Fell|92|5.4
78406|12989|Steal Big Steal Little|113|5.1
55731|36147|Race the Sun|100|5.2
32119|60295|The Boys of St. Vincent|90|7.0
11066|68215|Boomerang|117|5.4
11104|12453|Chungking Express|102|7.9
37975|65314|The Star Maker|113|6.8
2074|17883|Flirting with Disaster|92|6.3
27793|16589|The Neverending Story III: Escape from Fantasia|95|4.4
44284|239321|The Silences of the Palace|116|4.3
290157|93632|Jupiter's Wife|87|0.0
110972|122583|Pie in the Sky|95|7.0
32622|41670|Angela|99|5.6
73067|125543|Frankie Starlight|101|5.4
11863|15175|Jade|95|5.1
55475|114997|Nueba Yol|102|5.5
124636|84445|Sonic Outlaws|87|0.0
9101|12920|Down Periscope|92|5.6
123360|1077999|From the Journals of Jean Seberg|97|6.5
5757|45382|Man of the Year|86|3.8
39428|93911|The Neon Bible|91|7.2
124639|1080311|Target|122|0.0
9302|18250|Up Close & Personal|119|5.9
11000|5342|The Birdcage|117|6.7
249882|1285121|Virgin Mary|125|7.0
16388|12833|The Brothers McMullen|98|6.3
9737|865|Bad Boys|118|6.5
30765|56828|The Amazing Panda Adventure|81|5.0
10474|65390|The Basketball Diaries|102|7.2
22279|10723|An Awfully Big Adventure|113|6.0
30157|91343|Amateur|105|6.5
568|6159|Apollo 13|140|7.3
11780|30365|Rob Roy|139|6.5
34996|39104|The Addiction|82|6.4
414|5572|Batman Forever|121|5.2
649|793|Belle de Jour|101|7.3
1873|19665|Beyond Rangoon|100|6.4
1775|17087|Canadian Bacon|91|5.9
8839|11887|Casper|100|6.0
20649|5281|Clockers|128|6.8
10329|664|Congo|109|5.0
8963|893|Crimson Tide|116|7.0
26564|17447|Crumb|119|7.6
8068|2294|Desperado|104|6.8
8512|21712|Devil in a Blue Dress|102|6.3
1572|1090|Die Hard: With a Vengeance|128|6.9
13552|19224|The Doom Generation|80|5.6
259209|68774|Feast of July|116|0.0
6520|3415|First Knight|134|5.9
9073|56998|Free Willy 2 - The Adventure Home|95|5.5
10428|1978|Hackers|107|6.2
17447|252806|Jeffrey|92|6.5
9886|59997|Johnny Mnemonic|97|5.5
9482|33279|Judge Dredd|96|5.4
19326|58316|Jury Duty|88|4.0
9344|51917|Kids|91|6.8
9071|6400|Living in Oblivion|89|7.2
8973|31211|Lord of Illusions|119|5.9
15730|38516|Love & Human Remains|100|7.0
47608|42617|Mad Love|95|5.5
2293|19303|Mallrats|94|6.8
9070|42111|Mighty Morphin Power Rangers: The Movie|92|5.2
68274|44847|Moonlight and Valentino|100|5.6
48787|58384|Mute Witness|95|6.4
34574|54469|Nadja|93|5.9
1642|11472|The Net|114|5.6
11472|10965|Nine Months|103|5.5
36196|56714|Party Girl|94|5.8
11980|28902|The Prophecy|98|6.4
58372|26487|Reckless|91|10.0
32646|16863|Safe|119|7.2
10533|8965|The Scarlet Letter|135|5.5
10802|10491|Showgirls|128|4.9
18402|5306|Something to Talk About|106|5.7
9348|21370|Species|108|5.5
139408|408|The Stars Fell on Henrietta|109|6.6
281|14392|Strange Days|145|6.8
5967|24882|The Umbrellas of Cherbourg|91|7.6
79593|17880|The Tie That Binds|99|4.6
47939|63713|Three Wishes|115|6.1
36834|1128|Total Eclipse|111|6.5
9090|20237|To Wong Foo, Thanks for Everything! Julie Newmar|105|6.3
3512|32277|Under Siege 2: Dark Territory|100|5.6
52856|3092|Unstrung Heroes|93|6.4
77350|588623|Unzipped|73|6.0
9560|22767|A Walk in the Clouds|103|6.5
9804|8300|Waterworld|135|5.9
31611|73494|White Man's Burden|89|5.1
65796|1723|Wild Bill|98|5.9
49805|6111|The Browning Version|97|6.0
26258|17309|Bushwhacked|90|4.9
50797|82796|Burnt by the Sun|135|6.7
19155|1364800|Before the Rain|113|7.7
76|564|Before Sunrise|105|7.7
11017|57691|Billy Madison|89|6.2
37141|43468|The Babysitter|90|4.7
9382|18378|Boys on the Side|115|6.3
6715|44990|The Cure|97|7.2
18256|27991|Castle Freak|95|5.8
22625|19969|Circle of Friends|103|6.5
2292|19303|Clerks|92|7.4
1909|25210|Don Juan DeMarco|97|6.3
8984|8246|Disclosure|123|5.9
61813|225065|Dream Man|0|2.5
4954|12840|Drop Zone|101|5.1
62488|58154|Destiny Turns on the Radio|0|5.3
10531|3556|Death and the Maiden|103|7.1
11929|18596|Dolores Claiborne|132|7.1
10451|1614|Eat Drink Man Woman|123|7.5
20156|56205|Exotica|103|6.5
18395|1201|Exit to Eden|113|4.3
522|510|Ed Wood|127|7.3
397|8844|French Kiss|111|6.2
10525|7904|Forget Paris|101|6.1
27985|148119|Far from Home: The Adventures of Yellow Dog|87|5.6
27303|57090|Hideaway|103|5.0
21183|87695|Fluke|96|6.6
10954|67794|Farinelli|111|5.9
47867|1566166|Gordy|90|3.0
43475|129534|Gumby: The Movie|77|5.0
72031|97755|The Glass Shield|109|5.4
14275|122449|Hoop Dreams|171|7.7
1024|108|Heavenly Creatures|99|6.9
17207|77121|Houseguest|113|6.0
13701|57851|Immortal Beloved|121|6.9
14819|32593|Heavyweights|100|6.0
32631|1203|The Hunted|106|6.0
11777|64061|I.Q.|100|5.9
628|17016|Interview with the Vampire|123|7.2
87729|54441|Jefferson in Paris|139|5.2
18713|73668|The Jerky Boys|82|4.8
6280|8858|Junior|109|4.7
9061|56872|Just Cause|102|6.0
37108|62043|A Kid in King Arthur's Court|89|4.3
6071|23393|Kiss of Death|101|5.7
11|1|Star Wars|121|8.1
9587|58094|Little Women|115|7.0
19101|11218|A Little Princess|97|7.4
49980|15488|Ladybird Ladybird|101|7.4
17961|19069|L'Enfer|100|6.6
18183|22767|Like Water for Chocolate|105|6.6
4476|9181|Legends of the Fall|133|7.2
11008|14692|Major Payne|95|6.1
47504|20561|Little Odessa|98|6.4
32325|3110|Mi Vida Loca|92|5.7
43742|58463|Love Affair|108|4.3
28313|15912|Losing Isaiah|106|6.4
11318|55476|The Madness of King George|107|6.7
3036|11181|Mary Shelley's Frankenstein|123|6.1
40490|27444|Man of the House|96|5.1
24070|9248|Mixed Nuts|97|5.2
8986|24318|Milk Money|108|5.6
10510|56911|Miracle on 34th Street|114|6.4
17402|5065|Miami Rhapsody|95|5.6
38722|16395|My Family|128|7.0
8438|54971|Murder in the First|122|6.9
11593|6729|Nobody's Fool|110|7.0
1945|10781|Nell|112|6.1
39310|17278|New Jersey Drive|98|6.9
109560|129957|New York Cop|93|0.0
56428|70905|Beyond Bedlam|89|4.0
63105|63937|Nemesis 2 - Nebula|83|4.6
131957|131792|Nina Takes a Lover|100|7.4
241|1152|Natural Born Killers|119|6.9
9058|13563|Only You|115|6.4
527|7256|Once Were Warriors|99|7.6
18220|2873|Poison Ivy II: Lily|106|4.6
6950|5231|Outbreak|127|6.4
101|59|Leon: The Professional|110|8.2
63020|6495|The Perez Family|113|6.6
2307|23757|A Pyromaniac's Love Story|94|7.0
680|138|Pulp Fiction|154|8.3
41478|16214|Panther|124|6.4
25296|1614|Pushing Hands|105|6.1
40156|42617|Priest|98|6.4
11450|4135|Quiz Show|133|7.1
30304|994323|Picture Bride|94|7.4
10452|23724|Queen Margot|162|7.0
12106|7623|The Quick and the Dead|107|6.2
161495|12804|Roommates|108|6.4
3586|9789|Prêt-à-Porter|133|5.3
110|1126|Three Colors: Red|99|7.8
108|1126|Three Colors: Blue|98|7.7
109|1126|Three Colors: White|91|7.3
159185|77305|Red Firecracker, Green Firecracker|111|7.0
36357|45642|Rent-a-Kid|85|5.1
92769|133793|Relative Fear|90|4.7
28033|1524|Stuart Saves His Family|95|5.0
22586|107274|The Swan Princess|89|6.5
14334|102445|The Secret of Roan Inish|97|6.1
2636|26648|The Specialist|110|5.5
2164|6046|Stargate|121|6.8
11395|58072|The Santa Clause|97|6.3
278|4027|The Shawshank Redemption|142|8.5
9905|2034|Shallow Grave|92|7.0
20306|57028|Swimming with Sharks|101|6.7
27993|64030|Senior Trip|91|5.7
31439|607|To Live|125|7.7
9067|56891|Tank Girl|98|5.5
9059|15521|Tales from the Crypt: Demon Knight|92|6.7
193|2380|Star Trek: Generations|118|6.4
25066|141825|Tales from the Hood|98|5.4
46797|58080|Tom & Viv|115|5.8
12122|11770|Village of the Damned|99|5.6
11381|13426|Tommy Boy|97|6.8
32636|15389|Vanya on 42nd Street|119|6.1
36141|1884|The Underneath|99|5.6
95963|76705|The Walking Dead|88|6.6
1587|5306|What's Eating Gilbert Grape|118|7.5
9271|57090|Virtuosity|106|5.4
2064|12962|While You Were Sleeping|103|6.5
19855|18250|The War|126|6.3
60855|1230367|Double Happiness|87|5.5
236|3045|Muriel's Wedding|106|6.9
48287|83313|The Baby-Sitters Club|94|5.3
3049|4499|Ace Ventura: Pet Detective|86|6.4
2759|27889|The Adventures of Priscilla, Queen of the Desert|104|7.2
12635|1978|Backbeat|100|6.2
10497|3556|Bitter Moon|139|7.0
11382|1243|Bullets Over Broadway|98|7.0
9331|13015|Clear and Present Danger|141|6.4
10731|5572|The Client|119|6.4
10464|16853|Corrina, Corrina|115|6.4
34152|5281|Crooklyn|115|6.7
9495|21085|The Crow|102|7.3
29973|4037|Cobb|128|6.1
888|13581|The Flintstones|91|5.0
13|24|Forrest Gump|142|8.2
712|10723|Four Weddings and a Funeral|117|6.6
16295|6482|Higher Learning|127|6.4
48992|81727|I Like It Like That|104|6.3
10879|56106|I Love Trouble|123|5.3
10660|41550|It Could Happen to You|101|6.1
10714|7775|The Jungle Book|111|5.9
41647|226963|The Wonderful, Horrible Life of Leni Riefenstahl|180|7.3
1689|4956|Little Buddha|140|6.0
11596|5140|New Nightmare|112|6.4
854|26713|The Mask|101|6.6
9359|7187|Maverick|127|6.6
23333|72427|Mrs. Parker and the Vicious Circle|125|6.3
36593|13426|The Naked Gun 33⅓: The Final Insult|83|6.4
12280|6159|The Paper|112|6.1
2788|7399|Reality Bites|99|6.5
10427|21053|Red Rock West|98|6.4
11011|18281|Ri¢hie Ri¢h|95|5.4
49803|83588|Safe Passage|98|4.9
8987|323|The River Wild|111|6.1
1637|2209|Speed|116|6.8
15128|33485|Speechless|99|5.5
8831|37710|Timecop|99|5.5
36955|2710|True Lies|141|6.8
10449|46085|When a Man Loves a Woman|126|6.0
10395|5342|Wolf|125|6.0
12160|8844|Wyatt Earp|191|6.5
40480|42301|Bad Company|108|4.9
52038|158634|A Man of No Importance|99|6.5
29444|72125|S.F.W.|96|6.1
26352|35689|A Low Down Dirty Shame|100|6.0
41580|234793|Colonel Chabert|110|5.9
315|4590|Faster, Pussycat! Kill! Kill!|83|6.5
22067|67896|Jason's Lyric|119|5.9
18242|80537|The Secret Adventures of Tom Thumb|61|7.1
11667|1726|Street Fighter|102|4.1
32502|486|Coldblooded|92|6.7
267188|126837|Desert Winds|97|0.0
28732|1142481|Fall Time|88|6.3
75555|532207|The Fear|98|3.4
42981|129216|Frank and Ollie|89|7.5
278939|1382436|Girl in the Cadillac|89|10.0
291731|1385254|Homage|97|0.0
226229|220152|Mirage|92|4.0
203119|4040|Open Season|97|0.0
172923|16401|Dos Crímenes|0|5.0
8011|53599|Highlander: The Final Dimension|99|4.5
171857|77076|Federal Hill|97|5.0
2654|11770|In the Mouth of Madness|95|7.1
18069|16513|8 Seconds|105|7.2
19092|88060|Above the Rim|96|6.7
2758|5174|Addams Family Values|94|6.5
38129|15106|Martin Lawrence: You So Crazy|84|4.5
10436|1032|The Age of Innocence|139|7.0
13595|7145|Airheads|92|5.8
46094|12988|The Air Up There|107|5.1
9409|12840|Another Stakeout|105|4.9
11853|42171|Bad Girls|99|4.6
16771|78188|Barcelona|100|6.6
46924|68687|Being Human|122|5.0
11041|58448|The Beverly Hillbillies|93|5.0
306|4610|Beverly Hills Cop III|104|5.5
14522|1901|Black Beauty|88|6.6
26203|10781|Blink|106|6.3
178|2042|Blown Away|121|6.0
19819|15175|Blue Chips|108|5.7
57834|32765|Blue Sky|101|6.1
4722|39104|Body Snatchers|87|5.8
18215|14800|Boxing Helena|107|4.5
1607|380|A Bronx Tale|121|7.4
26391|57107|Cabin Boy|80|4.9
117553|61175|Calendar Girl|90|3.7
6075|1150|Carlito's Way|144|7.7
11310|66548|City Slickers II: The Legend of Curly's Gold|116|4.9
18658|8843|Clean Slate|107|5.7
9350|16938|Cliffhanger|112|6.1
9612|18308|Coneheads|88|4.8
2124|21806|Color of Night|121|5.4
26261|12964|Cops & Robbersons|93|5.0
19176|27236|The Cowboy Way|102|5.1
49299|39104|Dangerous Game|108|5.4
11566|8858|Dave|110|6.3
9571|564|Dazed and Confused|102|7.4
9739|58838|Demolition Man|115|6.4
24257|86|The Endless Summer 2|109|7.1
34444|5216|Even Cowgirls Get the Blues|96|4.2
26141|1895|Fatal Instinct|91|5.4
10997|20640|Farewell My Concubine|171|7.8
50463|18281|The Favor|97|3.3
10443|2690|Fearless|122|6.8
20239|141825|Fear of a Black Hat|88|5.8
16297|50949|With Honors|103|6.1
18551|10967|Flesh and Bone|126|6.2
25440|17784|Widows' Peak|101|4.3
9024|5174|For Love or Money|94|5.7
37233|2226|The Firm|154|6.6
1634|18254|Free Willy|112|6.0
13815|52358|Fresh|114|7.6
5503|12989|The Fugitive|130|7.2
35588|1723|Geronimo: An American Legend|115|5.9
2087|21370|The Getaway|115|5.4
41579|26502|Getting Even with Dad|109|4.5
18620|172993|Go Fish|83|3.9
41006|5696|A Good Man in Africa|94|5.2
4916|39996|Guilty as Sin|107|5.6
2019|11401|Hard Target|97|6.1
31642|1152|Heaven & Earth|140|6.4
9255|12936|Hot Shots! Part Deux|86|6.2
26271|94996|Live Nude Girls|95|4.7
10612|65859|The Englishman Who Went Up a Hill But Came Down a Mountain|99|6.1
2259|19684|The House of the Spirits|140|6.7
16097|77733|House Party 3|100|4.6
11934|1223|The Hudsucker Proxy|111|7.1
106143|3388|I'll Do Anything|115|5.7
12475|774|In the Army Now|91|4.7
9386|5231|In the Line of Fire|128|6.8
7984|53334|In the Name of the Father|133|7.6
59930|230059|The Inkwell|110|3.9
15765|18069|What's Love Got to Do with It|118|6.9
31643|8246|Jimmy Hollywood|112|4.6
6|2042|Judgment Night|110|6.4
329|488|Jurassic Park|127|7.6
10909|58498|Kalifornia|117|6.5
507|8297|Killing Zoe|96|6.1
34024|1884|King of the Hill|103|6.4
29918|40549|Lassie|94|6.1
9593|1090|Last Action Hero|130|6.1
42580|90037|Life With Mikey|91|5.1
1413|224|M. Butterfly|101|6.6
12121|24318|Made in America|111|5.3
2246|23213|Malice|107|5.9
10502|2461|The Man without a Face|114|6.2
10440|1243|Manhattan Murder Mystery|104|7.1
2320|2523|Executive Decision|133|5.8
5879|46230|In the Realm of the Senses|105|6.5
83718|119232|What Happened Was...|91|7.0
